organisation_name,org_uri_code,effective_date,unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number,street_name,postal_town,uk_postcode,coordinate_reference_system,easting,northing,geopoint_licensing_uri,tenure_type,tenure_detail,other_tenure,holding_type,size_of_building,size_of_land,effective_service_delivery_government_services_function_label,effective_service_delivery_government_services_function_code,purpose,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating,title_number,inspire_url
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10007778610","1127","Discovery Academy","","Vernons Lane","Nuneaton","CV10 8BB","OSGB36",435100,292050,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2750.76,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",489374.75,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071495782","1128","Nuneaton Training Centre","","Newtown Road","Nuneaton","CV11 4HR","OSGB36",436050,292160,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",227.15,0.0000,"Community safety",16,"To Follow","n/a","Not Currently Available",32516.46,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399126","1131","Wembrook Primary School","","Avenue Road","Nuneaton","CV11 4LU","OSGB36",436470,290830,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",3642.56,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",601358.24,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071496291","1133","Our Lady and St Joseph Catholic Academy","","Coton Road","Nuneaton","CV11 5TY","OSGB36",436330,291260,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",3052.59,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",737301.40,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071495209","1137","Nuneaton Academy","","Arbury Road","Stockingford, Nuneaton","CV10 7PD","OSGB36",433880,290860,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",11628.99,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1756704.46,"Not Currently Available","B, E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399226","1140","St Thomas More Catholic School & 6th Form College","","Greenmoor Road","Nuneaton","CV10 7EX","OSGB36",435330,291140,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",9333.45,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1498169.68,"Not Currently Available","C, D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399092","1141","Abbey CE Infant School","","Aston Road","Nuneaton","CV11 5EL","OSGB36",435670,292420,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1456.65,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",96066.30,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399269","1142","All Saints CE Primary School","","Knebley Crescent","Nuneaton","CV10 7AT","OSGB36",436310,290240,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",1425.81,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",539322.74,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071496286","1143","Queen's Church of England Academy","","Bentley Road","Nuneaton","CV11 5LR","OSGB36",435260,291740,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2662.42,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",585157.02,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399320","1144","Galley Common Infant School","","Plough Hill Road","Nuneaton","CV10 9NZ","OSGB36",431780,292290,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Both Freehold & Leasehold","Occupied by the Local Authority","n/a","Land with a permanent building",802.39,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",63189.09,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071495368","1145","Park Lane Primary School (Academy)","","Park Lane","Nuneaton","CV10 8LU","OSGB36",431990,291180,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2506.04,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",324223.51,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399171","1146","Chetwynd Junior School","","Caroline Close","Nuneaton","CV11 4SE","OSGB36",438010,289310,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",2471.47,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",973784.89,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10000231046","1147","Former Freeway Centre - Site for Extra Care Home","Withheld","Withheld","Withheld","CV11","OSGB36",0,0,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Vacant","n/a","Land only",0.00,0.3033,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",214404.32,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071495200","1152","Glendale Infant School","","Skye Close","Nuneaton","CV10 7LW","OSGB36",434780,290760,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1597.58,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",506222.48,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071496336","1153","Chilvers Coton Community Infant School","","Frank Street","Nuneaton","CV11 5RB","OSGB36",435860,291190,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1623.07,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",189922.02,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071495211","1155","Land at The Former Griff School","Withheld","Withheld","Withheld","CV10","OSGB36",0,0,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Vacant","n/a","Land only",0.00,2.0306,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071496232","1157","Hatters Space Community Centre","","Upper Abbey Street","Nuneaton","CV11 5DN","OSGB36",435750,292160,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",938.06,0.0000,"Health and social care",58,"To Follow","n/a","Not Currently Available",63666.47,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399271","1158","Etone College (Academy)","","Leicester Road","Nuneaton","CV11 6AA","OSGB36",436880,292130,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",9789.99,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1558679.73,"Not Currently Available","B, D, F","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071495631","1161","Nuneaton Library & Information Centre","","Church Street","Nuneaton","CV11 4DR","OSGB36",436480,291720,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1467.59,0.0000,"Leisure and culture",72,"To Follow","n/a","Not Currently Available",620690.96,"Not Currently Available","B","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071577348","1165","Nuneaton Gypsy Caravan Site","","Coventry Road","Nuneaton","CV10 7AX","OSGB36",436090,289300,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",987.46,0.0000,"Housing",66,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071495629","1173","Land at Former Nuneaton Magistrates Courts","","Vicarage Street","Nuneaton","CV11 4DW","OSGB36",436510,291760,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land only",0.00,0.2200,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399307","1184","Nuneaton Fire Station","","Newtown Road","Nuneaton","CV11 4HR","OSGB36",436070,292080,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1788.30,0.0000,"Community safety",16,"To Follow","n/a","Not Currently Available",147367.85,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10007779137","1188","The Hilary Road Centre","","Hilary Road","Nuneaton","CV10 9AD","OSGB36",434500,292150,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1081.92,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",59763.87,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
